                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241204"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  1.7677669529663690E+004                  2.0000000000000000E+000                 -9.8999999999999986E+001                  4.2474250108400469E+000                                     2493                  2.8691247481295096E-001                  1.4336294906072616E-001                  7.8132229093745224E-008                  9.9999999943620121E-001                  9.9999999838683951E-001                  1.4336294906072616E-001                  7.8132229093745224E-008                  9.9999999943620121E-001                  9.9999999838683951E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8296848650740091E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2058177445509668E+000                 -3.7781008601721297E+001                 -1.3847379800543134E+001                  1.2058177445509672E+000                  3.9573155914161879E+000                  1.6159858244471501E+001                  1.2084375467904345E+000                  2.1224075142733809E-001                  4.3146161201124382E+000                  2.0635553396355728E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3257894239524202E+000                  1.8067382952898692E+000                  1.7259981666329470E+001                  6.2265295870786341E-001                  8.4793649964869489E-001                  6.9587120577660622E-001                  2.8357195899445276E-001                  2.9833158078550796E-005                  9.2360980409437621E-003                  3.4468833607860724E-003                  9.3805276451495341E-003                  1.3982670893238311E+000                  5.6131778742889482E-001                  9.1477215170476134E-001                  8.9456839313160619E-001                 -3.7781008601721297E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.7677669529663690E+004                  1.1999999999793593E+002                  4.7836420922351266E+002                  1.9772673275168310E+002                  3.9545346550336622E+000                  6.0735102244510792E+001                  3.2839282289075749E+002                 -9.7315885831921123E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168689740357545E+054                 -2.6884426643768806E+031                  0.0000000000000000E+000                 -2.6884426643768806E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      10                  4.5888900380152819E+005                  2.0000000000000000E+000                 -9.8999999999999986E+001                  4.9600562252686702E+000                                      961                  2.7435530563963811E-001                  1.3456646438653963E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839989662E-001                  1.3717765281981906E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839989662E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8652259172689866E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2083954062935247E+000                 -3.7774792899497925E+001                 -1.4449439791871097E+001                  1.2083954062935247E+000                  3.9574153833892152E+000                  1.6183502935805652E+001                  1.2090725309372476E+000                  2.1235865955469066E-001                  4.3143803038577326E+000                  2.0624351600762780E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3259006631344343E+000                  1.8079407926241864E+000                  1.7261233364304289E+001                  6.2274477599763012E-001                  8.4783553372003428E-001                  6.9566931375933405E-001                  2.8377513882478739E-001                  2.9952995501358946E-005                  9.2269114808782877E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3981952031620082E+000                  5.6138596792983109E-001                  9.1858781993894711E-001                  8.9584529824828785E-001                 -3.7774792899497925E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  4.5888900380152807E+005                  1.1999999994644016E+002                  4.7836420908665855E+002                  1.9772673277996665E+002                  3.9545346555993341E+000                  6.0735102227135229E+001                  3.2839282279680839E+002                 -9.7315157012682585E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168689736614272E+054                 -2.6884426666201794E+031                  0.0000000000000000E+000                 -2.6884426666201794E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      20                  3.3002087624783013E+006                  2.0000000000000000E+000                 -9.8999999999999986E+001                  5.7518686857449177E+000                                      959                  2.6916701266498833E-001                  1.3456646438653963E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839929421E-001                  1.3458350633249416E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839929421E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8868738820133310E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2095763264605504E+000                 -3.7753615337363016E+001                 -9.8999999999999986E+001                  1.2095763264605504E+000                  3.9573981659829975E+000                  1.6189333718602992E+001                  1.2092289754804599E+000                  2.1247131663873262E-001                  4.3141549896896487E+000                  2.0613654358240878E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3262600169211431E+000                  1.8076642783369123E+000                  1.7260893047613536E+001                  6.2335556279575532E-001                  8.4718308922257535E-001                  6.9436443482046106E-001                  2.8508748924139621E-001                  3.0283510000261018E-005                  9.1678216875628743E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3977318550507674E+000                  5.6183092020072289E-001                  9.1940047727093088E-001                  8.9741394217842618E-001                 -3.7753615337363016E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  3.3002087624783013E+006                  1.1999999961481663E+002                  4.7836420820534295E+002                  1.9772673296210792E+002                  3.9545346592421584E+000                  6.0735102115239734E+001                  3.2839282219179296E+002                 -9.7314460462352981E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168689712508292E+054                 -2.6884426810666025E+031                  0.0000000000000000E+000                 -2.6884426810666025E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      30                  2.0892911799962055E+007                  2.0000000000000000E+000                 -9.8999999999999986E+001                  6.5436811462211661E+000                                      959                  2.7111332566770419E-001                  1.3456646438653963E-001                  7.8132228039033350E-008                  9.9999999941745121E-001                  9.9999999836778475E-001                  1.4256095776467759E-001                  7.8132228039033350E-008                  9.9999999941745121E-001                  9.9999999836778475E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.9096490957218068E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2107941615787943E+000                 -3.7703426108759331E+001                 -9.8999999999999986E+001                  1.2107941615787943E+000                  3.9563090627560107E+000                  1.6230994225338996E+001                  1.2103451232368132E+000                  2.1520759697088221E-001                  4.3086824290253496E+000                  2.0355530673615431E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3267155070226826E+000                  1.8061172852354621E+000                  1.7257126730584179E+001                  6.2720658735054380E-001                  8.4318236356919707E-001                  6.8636301822464552E-001                  2.9313251905706289E-001                  3.2076029947870500E-005                  8.8221390204303064E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3948703726454466E+000                  5.6463320071599066E-001                  9.1292141743077526E-001                  9.0658379349678053E-001                 -3.7703426108759331E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  2.0892911799962051E+007                  1.1999999756149091E+002                  4.7836420274846779E+002                  1.9772673408987845E+002                  3.9545346817975688E+000                  6.0735101422412249E+001                  3.2839281844569609E+002                 -9.7297486725089588E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168689563250394E+054                 -2.6884427705150757E+031                  0.0000000000000000E+000                 -2.6884427705150757E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      40                  1.2982229196561727E+008                  2.0000000000000000E+000                 -9.8999999999999986E+001                  7.3354936066974146E+000                                      958                  2.7160977164908023E-001                  1.3456646438653985E-001                  7.8132228261077955E-008                  9.9999999933620143E-001                  9.9999999811452012E-001                  1.4497085145837696E-001                  7.8132228261077955E-008                  9.9999999933620143E-001                  9.9999999811452012E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8928157237608700E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2244338913177604E+000                 -3.7438341164745715E+001                 -9.8999999999999986E+001                  1.2244338913177601E+000                  3.9493887551428348E+000                  1.6750314104325817E+001                  1.2240229554025004E+000                  2.3588712828007669E-001                  4.2673233664069610E+000                  1.8506460576857240E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3285981172607810E+000                  1.8028623921014049E+000                  1.7237985039045935E+001                  6.5333327411784559E-001                  8.1724520006730905E-001                  6.3448893413297414E-001                  3.4522983455034240E-001                  4.1315066117561255E-005                  7.0544361234950960E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3768830810529140E+000                  5.8253932300690436E-001                  8.5962860356078608E-001                  9.7900192742468117E-001                 -3.7438341164745715E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  1.2982229196561727E+008                  1.1999998484783812E+002                  4.7836416896093095E+002                  1.9772674107273752E+002                  3.9545348214547507E+000                  6.0735097132606576E+001                  3.2839279525084925E+002                 -9.7165689681294876E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168688639084693E+054                 -2.6884433243565840E+031                  0.0000000000000000E+000                 -2.6884433243565840E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      50                  3.3167625483946228E+008                  2.0000000000000000E+000                 -9.8999999999999986E+001                  7.2507363739062898E+000                                      962                  2.5785534828604240E-001                  1.2821315051651155E-001                  7.8132227983522199E-008                  9.9999999904870118E-001                  9.9999999730277944E-001                  1.3456646438653957E-001                  7.8132227983522199E-008                  9.9999999904870118E-001                  9.9999999730277944E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8000196160739255E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2542633866787911E+000                 -3.6805928808500759E+001                 -9.8999999999999986E+001                  1.2542633866787911E+000                  3.9355011016677617E+000                  1.7940827418998534E+001                  1.2538424685418978E+000                  2.7857219179992310E-001                  4.1819532393672683E+000                  1.5203838206827300E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3358474655736066E+000                  1.8096638083365895E+000                  1.7212238346338971E+001                  7.1604161071100547E-001                  7.6268031689547733E-001                  5.2535970605224536E-001                  4.5466134028440214E-001                  5.4940871440832648E-005                  4.6672557090311362E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3417270244515962E+000                  6.1766765888737996E-001                  7.5143166217390855E-001                  1.0904782326644726E+000                 -3.6805928808500759E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  3.3167625483946216E+008                  1.1999996128852086E+002                  4.7836410635018086E+002                  1.9772675401248259E+002                  3.9545350802496517E+000                  6.0735089183286298E+001                  3.2839275226911997E+002                 -9.6872966612460609E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168686926538704E+054                 -2.6884445793488568E+031                  0.0000000000000000E+000                 -2.6884445793488568E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      60                  4.9471841680329680E+008                  2.0000000000000000E+000                 -9.8999999999999986E+001                  7.1774114436535301E+000                                      967                  2.4141186654788660E-001                  1.2033165557303960E-001                  7.8132227816988746E-008                  9.9999999864245115E-001                  9.9999999613517720E-001                  1.2347646857128125E-001                  7.8132227816988746E-008                  9.9999999864245115E-001                  9.9999999613517720E-001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.6372533297834510E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2793927600890314E+000                 -3.6170940816121188E+001                 -9.8999999999999986E+001                  1.2793927600890314E+000                  3.9206827996605584E+000                  1.9006881326633291E+001                  1.2789108631176449E+000                  3.2074299310220289E-001                  4.0976116367627080E+000                  1.2520210676246414E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3448981017644623E+000                  1.8258301604119120E+000                  1.7195776320452584E+001                  7.8826917783842243E-001                  7.1056995730649475E-001                  4.2113941394284138E-001                  5.5906501152794097E-001                  6.4644869734318405E-005                  3.2233450939489310E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3113957171989763E+000                  6.4798065273312278E-001                  6.2786289847368915E-001                  1.1697663330371271E+000                 -3.6170940816121188E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  4.9471841680329692E+008                  1.1999994225910412E+002                  4.7836405577799701E+002                  1.9772676446422264E+002                  3.9545352892844532E+000                  6.0735082762432270E+001                  3.2839271755176043E+002                 -9.6554094482340747E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168685543274719E+054                 -2.6884455910022396E+031                  0.0000000000000000E+000                 -2.6884455910022396E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      70                  6.3089944744113994E+008                  2.0000000000000000E+000                 -9.8999999999999986E+001                  7.0996608327045871E+000                                      962                  2.1441827023952129E-001                  1.0633196984407434E-001                  7.8132228261077955E-008                  9.9999999807995177E-001                  9.9999999428559172E-001                  1.1096995946916577E-001                  7.8132228261077955E-008                  9.9999999807995177E-001                  9.9999999428559172E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5858133705814970E+030                  2.4813731089454208E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2986530599078883E+000                 -3.5501053830543448E+001                 -9.8999999999999986E+001                  1.2986530599078883E+000                  3.9033223545323756E+000                  1.9864452313548298E+001                  1.2980765955437723E+000                  3.6504674957163197E-001                  4.0090041238238499E+000                  1.0209491780389624E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3556640302285272E+000                  1.8510896086190123E+000                  1.7185562085463161E+001                  8.7703452883626387E-001                  6.5839734890365864E-001                  3.1679448404910354E-001                  6.6353379342576480E-001                  7.2749088927076292E-005                  2.2502205732879105E-003                  3.4468833607860720E-003                  9.3805276451495341E-003                  1.2846934386523596E+000                  6.7465710044037053E-001                  4.6635202864947917E-001                  1.2295362890764572E+000                 -3.5501053830543448E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  6.3089944744113970E+008                  1.1999992636477238E+002                  4.7836401353754792E+002                  1.9772677319404644E+002                  3.9545354638809287E+000                  6.0735077399409832E+001                  3.2839268855406357E+002                 -9.6184010594417912E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168684387902524E+054                 -2.6884464369315391E+031                  0.0000000000000000E+000                 -2.6884464369315391E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      80                  7.4484963489471734E+008                  2.0000000000000000E+000                 -9.8999999999999986E+001                  7.0205897651765738E+000                                      949                  1.8626744148147178E-001                  9.2630545344622561E-002                  7.8132227816988746E-008                  9.9999999704870135E-001                  9.9999999119235805E-001                  9.5647055420362781E-002                  7.8132227816988746E-008                  9.9999999704870135E-001                  9.9999999119235805E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3226258911457762E+031                  2.2320544954108584E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3110568674527010E+000                 -3.4744390683681509E+001                 -9.8999999999999986E+001                  1.3110568674527010E+000                  3.8829546381455193E+000                  2.0434127225666330E+001                  1.3103560930301583E+000                  4.1192193108853759E-001                  3.9152537607900388E+000                  8.2272323149620461E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3689994597663313E+000                  1.8886582600826569E+000                  1.7184302731307870E+001                  9.8930927331832375E-001                  6.0605508325053903E-001                  2.1211010270613911E-001                  7.6830274527481535E-001                  8.0326177574956153E-005                  1.5873584280522318E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.2615087706478143E+000                  6.9780885316851293E-001                  2.5521823344479372E-001                  1.2710826964353406E+000                 -3.4744390683681509E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  7.4484963489471734E+008                  1.1999991306510468E+002                  4.7836397819262322E+002                  1.9772678049877476E+002                  3.9545356099754949E+000                  6.0735072911871718E+001                  3.2839266429008364E+002                 -9.5749085461372996E-001                 -1.0000000000000000E+000                  2.0000000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.6168683421138545E+054                 -2.6884471449524201E+031                  0.0000000000000000E+000                 -2.6884471449524201E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
