                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20241205"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  5.2515994908897464E+003                  3.2500000000000000E+000                 -9.8999999999999986E+001                  3.7202915975528139E+000                                     2490                  6.3889760883487323E-001                  1.9619408808490646E-001                  7.8136130510220170E-008                  9.9999999976432552E-001                  9.9999999922995075E-001                  2.0071973727214898E-001                  7.8136130510220170E-008                  9.9999999976432552E-001                  9.9999999922995075E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0102608584223330E+032                  8.8034090075216845E+032                  1.3057810187007372E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9139444099468666E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0524714466427558E+000                 -3.5429377013273538E+001                 -9.8999999999999986E+001                  2.0524714466427558E+000                  4.1130563584788682E+000                  1.1561998582431882E+002                  2.0630329117920758E+000                  3.2805689980279690E-001                  4.2938371886764131E+000                  1.9671486931299758E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3879391402175649E+000                  1.5546483379473115E+000                  1.7075235653261803E+001                  6.1738964733107027E-001                  8.4952283190691924E-001                  6.9904493395842804E-001                  2.8038907591338058E-001                  4.0444433455070760E-005                  9.3490135653982905E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.2742592437346576E+000                  9.1019851873986268E-001                  1.1883721580319559E+000                  1.9886122510407371E+000                 -3.5429377013273538E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  5.2515994908897464E+003                  1.1999999999900696E+002                  4.8031038285140454E+002                  1.9612763784320549E+002                  6.3741482299041783E+000                  7.0897246415535889E+001                  3.1610972998538858E+002                 -9.6997883566032783E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351816990233426E+054                 -7.0417551016867272E+031                  0.0000000000000000E+000                 -7.0417551016867272E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      10                  1.3632460176354795E+005                  3.2500000000000000E+000                 -9.8999999999999986E+001                  4.4329228119814372E+000                                     1010                  5.6828117104851261E-001                  1.7363336409630353E-001                  7.8136129899597506E-008                  9.9999999975182552E-001                  9.9999999929162775E-001                  1.7813403460755067E-001                  7.8136129899597506E-008                  9.9999999975182552E-001                  9.9999999929162775E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0237513101083483E+032                  8.8410713726200850E+032                  1.4307405940314075E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.9086464543153992E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0415704304752129E+000                 -3.5402417454781556E+001                 -9.8999999999999986E+001                  2.0415704304752129E+000                  4.1105536901549273E+000                  1.1010621002192589E+002                  2.0418118139962593E+000                  3.2245168755277248E-001                  4.3050476131764626E+000                  2.0185876561592868E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3885984617129568E+000                  1.5538271217750599E+000                  1.7075028012169106E+001                  6.1748357907980611E-001                  8.4941455018940415E-001                  6.9882841898672587E-001                  2.8060761353437180E-001                  3.6891223874659868E-005                  9.3292578838511941E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.2741104478531042E+000                  9.1033121151993235E-001                  1.1783418540439767E+000                  1.9775731522608531E+000                 -3.5402417454781556E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  1.3632460176354792E+005                  1.1999999997424827E+002                  4.8031038278533862E+002                  1.9612763785669398E+002                  6.3741482303425538E+000                  7.0897246405784088E+001                  3.1610972994190820E+002                 -9.7036381346059664E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351816987320711E+054                 -7.0417551045117506E+031                  0.0000000000000000E+000                 -7.0417551045117506E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      20                  9.8041060377208260E+005                  3.2500000000000000E+000                 -9.8999999999999986E+001                  5.2247352724576857E+000                                     1001                  5.9776944347367811E-001                  1.8305090883132108E-001                  7.8136129899597506E-008                  9.9999999975182552E-001                  9.9999999929720673E-001                  1.8392905953036251E-001                  7.8136129899597506E-008                  9.9999999975182552E-001                  9.9999999929720673E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1049711690402402E+032                  8.9610056804593603E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0367992971754334E+000                 -3.5365499761767822E+001                 -1.3245319809215172E+001                  2.0367992971754334E+000                  4.1100022307149064E+000                  1.0879286577656491E+002                  2.0366004169112650E+000                  3.2094890789031588E-001                  4.3080531725013751E+000                  2.0326058561925878E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3893687531468197E+000                  1.5523459153164341E+000                  1.7073908146963987E+001                  6.1810676138203979E-001                  8.4874992706444286E-001                  6.9749917222528068E-001                  2.8195189547640259E-001                  3.7718880426466114E-005                  9.2100677047061569E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.2731659572159622E+000                  9.1121178896048838E-001                  1.1763531624225407E+000                  1.9723586059596103E+000                 -3.5365499761767822E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  9.8041060377208283E+005                  1.1999999981480653E+002                  4.8031038235988575E+002                  1.9612763794355769E+002                  6.3741482331656245E+000                  7.0897246342984204E+001                  3.1610972966190218E+002                 -9.7046618565984055E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351816968563361E+054                 -7.0417551227044610E+031                  0.0000000000000000E+000                 -7.0417551227044610E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      30                  6.2067686460463237E+006                  3.2500000000000000E+000                 -9.8999999999999986E+001                  6.0165477329339332E+000                                      986                  6.3935010686383076E-001                  1.9619408808490574E-001                  7.8136129788575204E-008                  9.9999999975182552E-001                  9.9999999927855521E-001                  2.0277768879158525E-001                  7.8136129788575204E-008                  9.9999999975182552E-001                  9.9999999927855521E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1950798264382015E+032                  9.0081848851906879E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0368054463081244E+000                 -3.5363599387754277E+001                 -1.3847379800543134E+001                  2.0368054463081244E+000                  4.1080008390162552E+000                  1.0864843131410781E+002                  2.0360234602787708E+000                  3.2466321297137224E-001                  4.3006245623392632E+000                  1.9981337817752319E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3888701675336224E+000                  1.5463387462540654E+000                  1.7064740377925684E+001                  6.2196619142072151E-001                  8.4473210051600645E-001                  6.8946351867610767E-001                  2.9006874469729471E-001                  4.1711059640438775E-005                  8.5658143734914736E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.2673700919353026E+000                  9.1691772177053377E-001                  1.1622974410656253E+000                  1.9745723603291905E+000                 -3.5363599387754277E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  6.2067686460463237E+006                  1.1999999882758530E+002                  4.8031037972559352E+002                  1.9612763848139483E+002                  6.3741482506453329E+000                  7.0897245954143841E+001                  3.1610972792817876E+002                 -9.7021251422968435E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351816852422777E+054                 -7.0417552353488723E+031                  0.0000000000000000E+000                 -7.0417552353488723E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      40                  3.8567000092898883E+007                  3.2500000000000000E+000                 -9.8999999999999986E+001                  6.8083601934101816E+000                                      980                  6.3326031741476685E-001                  1.9454945290392706E-001                  7.8136129788575204E-008                  9.9999999969870057E-001                  9.9999999912162774E-001                  1.9948588843824550E-001                  7.8136129788575204E-008                  9.9999999969870057E-001                  9.9999999912162774E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3447109550803017E+032                  8.7923901919969613E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0544417668142536E+000                 -3.5286988177412617E+001                 -9.8999999999999986E+001                  2.0544417668142536E+000                  4.0985636528244287E+000                  1.1322205925459542E+002                  2.0539310494602043E+000                  3.5249137994574159E-001                  4.2449682283905243E+000                  1.7577950145360712E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3868355527464713E+000                  1.5288034545483227E+000                  1.7027059563398726E+001                  6.4871112611947435E-001                  8.1820853947952343E-001                  6.3641649185656279E-001                  3.4344763601371775E-001                  5.7964818420219185E-005                  5.9348149349186044E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.2308961744535303E+000                  9.5344450034863648E-001                  1.0747978180245219E+000                  2.0063624527685899E+000                 -3.5286988177412617E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  3.8567000092898890E+007                  1.1999999271497133E+002                  4.8031036341474908E+002                  1.9612764181154094E+002                  6.3741483588750798E+000                  7.0897243546546576E+001                  3.1610971719341882E+002                 -9.6824135025599400E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351816133310782E+054                 -7.0417559328135562E+031                  0.0000000000000000E+000                 -7.0417559328135562E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      50                  9.6484724359346569E+007                  3.2500000000000000E+000                 -9.8999999999999986E+001                  6.6961999796044740E+000                                      974                  5.6453318853920065E-001                  1.7363336409630337E-001                  7.8136129733064053E-008                  9.9999999952995067E-001                  9.9999999868072487E-001                  1.7370251955052327E-001                  7.8136129733064053E-008                  9.9999999952995067E-001                  9.9999999868072487E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5837183626529899E+032                  8.2826021738558680E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.0952789296021272E+000                 -3.4763765475968825E+001                 -9.8999999999999986E+001                  2.0952789296021272E+000                  4.0838165765914303E+000                  1.2439866618961834E+002                  2.0948157238468084E+000                  4.0242786960503962E-001                  4.1450952490719279E+000                  1.3966746448842970E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.3920400913265336E+000                  1.5236738360260167E+000                  1.6986731711658908E+001                  7.1270202856226927E-001                  7.6275222639556817E-001                  5.2550412553672110E-001                  4.5468923730379335E-001                  7.5769833699826039E-005                  3.3309115578706366E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.1610987790572143E+000                  1.0233530041040693E+000                  9.2851289607861409E-001                  2.0646418936261282E+000                 -3.4763765475968825E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  9.6484724359346569E+007                  1.1999998177473000E+002                  4.8031033422190637E+002                  1.9612764777177424E+002                  6.3741485525826622E+000                  7.0897239237474295E+001                  3.1610969798054742E+002                 -9.6437141737008436E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351814846257641E+054                 -7.0417574686494191E+031                  0.0000000000000000E+000                 -7.0417574686494191E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      60                  1.4077644391016811E+008                  3.2500000000000000E+000                 -9.8999999999999986E+001                  6.6030685090962074E+000                                      969                  4.8776217579081876E-001                  1.4925037143065512E-001                  7.8136129511019448E-008                  9.9999999933620076E-001                  9.9999999806907525E-001                  1.5572070859339571E-001                  7.8136129511019448E-008                  9.9999999933620076E-001                  9.9999999806907525E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7474712665739788E+032                  7.7349801610290000E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1298922155137716E+000                 -3.4171393898828974E+001                 -9.8999999999999986E+001                  2.1298922155137716E+000                  4.0689894702914104E+000                  1.3470342395097151E+002                  2.1293786349517489E+000                  4.4936353775754972E-001                  4.0512239127669076E+000                  1.1251849452716646E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4005408300119813E+000                  1.5333125155113945E+000                  1.6962658149293173E+001                  7.8639191816224741E-001                  7.1012913882039030E-001                  4.2025812394449341E-001                  5.6009329248871265E-001                  8.6335481888014646E-005                  2.0847357309957300E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.1029641073076015E+000                  1.0815297216615798E+000                  7.7247634455475389E-001                  2.1103900409944703E+000                 -3.4171393898828974E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  1.4077644391016808E+008                  1.1999997340834177E+002                  4.8031031189710984E+002                  1.9612765232977529E+002                  6.3741487007176953E+000                  7.0897235942174717E+001                  3.1610968328778699E+002                 -9.6030514370741715E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351813862002682E+054                 -7.0417586390022583E+031                  0.0000000000000000E+000                 -7.0417586390022583E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      70                  1.7678533843044901E+008                  3.2500000000000000E+000                 -9.8999999999999986E+001                  6.5175935795814235E+000                                      980                  4.2462982360966622E-001                  1.3002600320245594E-001                  7.8136129733064053E-008                  9.9999999901745096E-001                  9.9999999710219278E-001                  1.3480121432284509E-001                  7.8136129733064053E-008                  9.9999999901745096E-001                  9.9999999710219278E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8048005505424938E+032                  7.0982684004608795E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1588034647672174E+000                 -3.3516199616544327E+001                 -1.3546349804879153E+001                  2.1588034647672174E+000                  4.0516525777338295E+000                  1.4394530368393040E+002                  2.1581975002844351E+000                  4.9844675553905438E-001                  3.9530574772038989E+000                  8.9754757360899421E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4112391579145198E+000                  1.5538363854916879E+000                  1.6947181115718184E+001                  8.7689103656619449E-001                  6.5762483572256891E-001                  3.1524961254209977E-001                  6.6519284115641542E-001                  9.4568037026096375E-005                  1.3696766359762140E-003                  3.4468833607860711E-003                  9.3805276451495376E-003                  2.0521748883429676E+000                  1.1323299306746286E+000                  5.8327636638006308E-001                  2.1471059707359035E+000                 -3.3516199616544327E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  1.7678533843044904E+008                  1.1999996660651921E+002                  4.8031029374718611E+002                  1.9612765603540259E+002                  6.3741488211505839E+000                  7.0897233263116206E+001                  3.1610967134266207E+002                 -9.5555555695660410E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351813061809368E+054                 -7.0417595888549326E+031                  0.0000000000000000E+000                 -7.0417595888549326E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      80                  2.0603442959839204E+008                  3.2500000000000000E+000                 -9.8999999999999986E+001                  6.4228452880972098E+000                                      988                  3.6693123247603282E-001                  1.1271907119064883E-001                  7.8136129955108657E-008                  9.9999999842370113E-001                  9.9999999549038143E-001                  1.1290191768493317E-001                  7.8136129955108657E-008                  9.9999999842370113E-001                  9.9999999549038143E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8260860305310588E+032                  6.3446730405479998E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1810918345580199E+000                 -3.2733284062856320E+001                 -1.3546349804879153E+001                  2.1810918345580199E+000                  4.0311503882255630E+000                  1.5148173638410523E+002                  2.1803602746486388E+000                  5.5053252173768841E-001                  3.8488859448066304E+000                  7.0613208423924461E+003                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4249973478810496E+000                  1.5885647518341195E+000                  1.6942957510735017E+001                  9.9168454726759647E-001                  6.0481636068492195E-001                  2.0963270508407056E-001                  7.7086508278338395E-001                  1.0235652292096869E-004                  9.3841071781051088E-004                  3.4468833607860707E-003                  9.3805276451495358E-003                  2.0084623621065272E+000                  1.1760375423789358E+000                  3.4979337285402701E-001                  2.1746396325424189E+000                 -3.2733284062856320E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  2.0603442959839207E+008                  1.1999996108157461E+002                  4.8031027900447208E+002                  1.9612765904538807E+002                  6.3741489189751119E+000                  7.0897231086986210E+001                  3.1610966163994584E+002                 -9.4989244085994395E-001                 -1.0000000000000000E+000                  3.2500000000000000E+000                  1.0000000000000000E+002                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  4.2351812411833004E+054                 -7.0417603620417319E+031                  0.0000000000000000E+000                 -7.0417603620417319E+031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
